analysis_scope,protocol,feature_set,backbone,epoch,k,beta,late_q,mean_inner_validation_mae,std_inner_validation_mae,num_inner_tasks,fold1_mae,fold2_mae,fold3_mae,avg_outer_mae,fold1_rmse,fold2_rmse,fold3_rmse,avg_outer_rmse,selected_for_mainline,notes
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,0.7,0.5,3.3984100421269736,1.7735315361985697,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,0.7,0.5,3.4048372507095337,1.7821596387742382,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,3,1.0,0.5,3.4835051894187927,1.0278707940794767,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,5,1.0,0.5,3.4917715390523276,1.0312426153944854,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,1.0,0.5,3.4990645051002502,1.0349312661283683,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,1.0,0.5,3.5100669066111245,1.0414295824597557,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,3,0.5,0.5,3.5567104816436768,2.3332720712147665,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,5,0.5,0.5,3.5583736101786294,2.337731880901047,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,0.5,0.5,3.5590868989626565,2.3419550124954664,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,0.5,0.5,3.5607464710871377,2.349095786611379,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,3,0.3,0.0,3.8178049325942993,2.940875667463585,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
