k,fold1_mae,fold1_rmse,fold2_mae,fold2_rmse,fold3_mae,fold3_rmse,avg_mae,avg_rmse,selected_by_inner_loso
1,2.1701,2.6033,2.6568,3.0219,2.5618,3.1287,2.4629,2.9179,no
3,2.2288,2.6342,2.6132,2.9667,2.5692,3.1348,2.4704,2.9119,yes
5,2.2378,2.6558,2.5908,2.9385,2.5637,3.1275,2.4641,2.9073,no
7,2.2349,2.6718,2.4904,2.8126,2.5636,3.1259,2.4296,2.8701,no
9,2.2492,2.6932,2.3997,2.7034,2.5684,3.1314,2.4058,2.8427,no
11,2.2619,2.7128,2.2990,2.5745,2.5717,3.1359,2.3775,2.8077,no
15,2.2567,2.7313,2.1902,2.4616,2.5857,3.1499,2.3442,2.7809,no
