inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold1:c1->c4,fold1,c1,c4,,,,head-only,early,101,91.47920989990234,97.94757843017578,2.6144306659698486,2.6343612670898438,2.6144306659698486,0.0
fold1:c1->c4,fold1,c1,c4,,,,head-only,mid,45,98.04940032958984,121.59553527832031,1.0365904569625854,1.2484736442565918,0.7947775721549988,0.24444444444444444
fold1:c1->c4,fold1,c1,c4,,,,head-only,late,73,122.64857482910156,210.91937255859375,3.109389305114746,4.4578752517700195,-0.9531323909759521,0.3424657534246575
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,early,101,91.47920989990234,97.94757843017578,1.1653467416763306,1.359724998474121,0.15290901064872742,0.6336633663366337
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,mid,45,98.04940032958984,121.59553527832031,1.5730170011520386,1.9601467847824097,-0.7881618738174438,0.6666666666666666
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,late,73,122.64857482910156,210.91937255859375,6.249502658843994,6.312143325805664,-6.249502658843994,1.0
fold1:c1->c4,fold1,c1,c4,3,0.3,0.0,delta-blend@k3_b03,early,101,91.47920989990234,97.94757843017578,1.875974178314209,1.9295234680175781,1.875974178314209,0.0
fold1:c1->c4,fold1,c1,c4,3,0.3,0.0,delta-blend@k3_b03,mid,45,98.04940032958984,121.59553527832031,0.9873111248016357,1.1696504354476929,0.3198954164981842,0.4
fold1:c1->c4,fold1,c1,c4,3,0.3,0.0,delta-blend@k3_b03,late,73,122.64857482910156,210.91937255859375,2.542043924331665,4.067502021789551,-2.542043924331665,1.0
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,early,101,91.47920989990234,97.94757843017578,1.3836697340011597,1.5437136888504028,1.3836697340011597,0.0
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,mid,45,98.04940032958984,121.59553527832031,1.0974706411361694,1.2876297235488892,0.003307596780359745,0.5333333333333333
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,late,73,122.64857482910156,210.91937255859375,3.601317882537842,4.331696510314941,-3.601317882537842,1.0
fold1:c1->c4,fold1,c1,c4,3,0.7,0.0,delta-blend@k3_b07,early,101,91.47920989990234,97.94757843017578,0.9680991768836975,1.298714518547058,0.8913654088973999,0.22772277227722773
fold1:c1->c4,fold1,c1,c4,3,0.7,0.0,delta-blend@k3_b07,mid,45,98.04940032958984,121.59553527832031,1.2657487392425537,1.5104564428329468,-0.3132798969745636,0.6
fold1:c1->c4,fold1,c1,c4,3,0.7,0.0,delta-blend@k3_b07,late,73,122.64857482910156,210.91937255859375,4.660592079162598,4.953057765960693,-4.660592079162598,1.0
fold1:c1->c4,fold1,c1,c4,5,,0.0,delta-knn-only@k5,early,101,91.47920989990234,97.94757843017578,1.149086833000183,1.3394216299057007,0.14245212078094482,0.6336633663366337
fold1:c1->c4,fold1,c1,c4,5,,0.0,delta-knn-only@k5,mid,45,98.04940032958984,121.59553527832031,1.5879294872283936,1.9692225456237793,-0.8241873979568481,0.6666666666666666
fold1:c1->c4,fold1,c1,c4,5,,0.0,delta-knn-only@k5,late,73,122.64857482910156,210.91937255859375,6.236706256866455,6.298391819000244,-6.236706256866455,1.0
fold1:c1->c4,fold1,c1,c4,5,0.3,0.0,delta-blend@k5_b03,early,101,91.47920989990234,97.94757843017578,1.872836709022522,1.9252874851226807,1.872836709022522,0.0
