inner_id,outer_fold,library_run,query_run,setting,k,beta,late_q,library_wear_threshold_um,mse_full_raw,rmse_full_raw,mae_full_raw,valid_points
fold1:c1->c4,fold1,c1,c4,head-only,,,,,10.145506858825684,3.185201227367854,2.4549598693847656,219
fold1:c1->c4,fold1,c1,c4,global-selected delta-blend@k10_b07,10,0.7,0.0,94.5686264038086,9.281956672668457,3.0466303800540784,2.2442033290863037,219
fold1:c4->c1,fold1,c4,c1,head-only,,,,,3.0253102779388428,1.7393419094412814,1.3250099420547485,219
fold1:c4->c1,fold1,c4,c1,global-selected delta-blend@k10_b07,10,0.7,0.0,91.17752075195312,15.723270416259766,3.965257925565469,3.3376386165618896,219
fold2:c4->c6,fold2,c4,c6,head-only,,,,,509.1584167480469,22.564538921680782,14.0205717086792,219
fold2:c4->c6,fold2,c4,c6,global-selected delta-blend@k10_b07,10,0.7,0.0,91.17752075195312,43.488468170166016,6.594578695425964,5.998275279998779,219
fold2:c6->c4,fold2,c6,c4,head-only,,,,,18.89177131652832,4.346466532314303,4.139190196990967,219
fold2:c6->c4,fold2,c6,c4,global-selected delta-blend@k10_b07,10,0.7,0.0,115.6524887084961,3.27911376953125,1.8108323416405092,1.5372878313064575,219
fold3:c1->c6,fold3,c1,c6,head-only,,,,,323.8025817871094,17.994515325151422,11.115522384643555,219
fold3:c1->c6,fold3,c1,c6,global-selected delta-blend@k10_b07,10,0.7,0.0,94.5686264038086,35.85845947265625,5.988193339618908,4.632483959197998,219
fold3:c6->c1,fold3,c6,c1,head-only,,,,,6.679760456085205,2.5845232550869426,2.1450955867767334,219
fold3:c6->c1,fold3,c6,c1,global-selected delta-blend@k10_b07,10,0.7,0.0,115.6524887084961,8.278684616088867,2.8772703411547664,2.118971109390259,219
