fold,k,beta,late_q,mode,library_wear_threshold_um,mse_full_raw,rmse_full_raw,mae_full_raw,valid_points
fold1,,,,head-only,,113.52344512939453,10.654738153957352,9.12986946105957,56
fold1,3,,0.0,delta-knn-only@k3,91.17752075195312,112.61085510253906,10.611826190742999,9.032132148742676,56
fold1,3,0.3,0.0,delta-blend@k3_b03,91.17752075195312,113.03582000732422,10.631830510656394,9.10054874420166,56
fold1,3,0.5,0.0,delta-blend@k3_b05,91.17752075195312,112.81257629394531,10.621326484669668,9.081001281738281,56
fold1,3,0.7,0.0,delta-blend@k3_b07,91.17752075195312,112.6707992553711,10.614650218230043,9.061453819274902,56
fold1,5,,0.0,delta-knn-only@k5,91.17752075195312,115.53447723388672,10.748696536505564,9.031489372253418,56
fold1,5,0.3,0.0,delta-blend@k5_b03,91.17752075195312,113.72064971923828,10.663988452696218,9.100358009338379,56
fold1,5,0.5,0.0,delta-blend@k5_b05,91.17752075195312,114.04547882080078,10.679207780580018,9.080681800842285,56
fold1,5,0.7,0.0,delta-blend@k5_b07,91.17752075195312,114.52506256103516,10.701638312007894,9.061005592346191,56
fold1,10,,0.0,delta-knn-only@k10,91.17752075195312,112.19269561767578,10.592105343966127,8.824067115783691,56
fold1,10,0.3,0.0,delta-blend@k10_b03,91.17752075195312,112.65528869628906,10.61391957272567,9.038130760192871,56
fold1,10,0.5,0.0,delta-blend@k10_b05,91.17752075195312,112.2998275756836,10.597161297993138,8.976968765258789,56
fold1,10,0.7,0.0,delta-blend@k10_b07,91.17752075195312,112.12300872802734,10.588815265553901,8.91580867767334,56
fold1,3,,0.8,delta-knn-only@k3,125.89108276367188,112.61085510253906,10.611826190742999,9.032132148742676,56
fold1,3,0.3,0.8,delta-blend@k3_b03,125.89108276367188,113.03582000732422,10.631830510656394,9.10054874420166,56
fold1,3,0.5,0.8,delta-blend@k3_b05,125.89108276367188,112.81257629394531,10.621326484669668,9.081001281738281,56
fold1,3,0.7,0.8,delta-blend@k3_b07,125.89108276367188,112.6707992553711,10.614650218230043,9.061453819274902,56
fold1,5,,0.8,delta-knn-only@k5,125.89108276367188,115.53447723388672,10.748696536505564,9.031489372253418,56
fold1,5,0.3,0.8,delta-blend@k5_b03,125.89108276367188,113.72064971923828,10.663988452696218,9.100358009338379,56
fold1,5,0.5,0.8,delta-blend@k5_b05,125.89108276367188,114.04547882080078,10.679207780580018,9.080681800842285,56
fold1,5,0.7,0.8,delta-blend@k5_b07,125.89108276367188,114.52506256103516,10.701638312007894,9.061005592346191,56
fold1,10,,0.8,delta-knn-only@k10,125.89108276367188,112.19269561767578,10.592105343966127,8.824067115783691,56
fold1,10,0.3,0.8,delta-blend@k10_b03,125.89108276367188,112.65528869628906,10.61391957272567,9.038130760192871,56
fold1,10,0.5,0.8,delta-blend@k10_b05,125.89108276367188,112.2998275756836,10.597161297993138,8.976968765258789,56
fold1,10,0.7,0.8,delta-blend@k10_b07,125.89108276367188,112.12300872802734,10.588815265553901,8.91580867767334,56
fold2,,,,head-only,,569.1707153320312,23.85729899489947,23.074670791625977,56
fold2,3,,0.0,delta-knn-only@k3,91.17752075195312,627.6517944335938,25.052979751590303,24.932415008544922,56
fold2,3,0.3,0.0,delta-blend@k3_b03,91.17752075195312,583.2119750976562,24.149782092136075,23.63199234008789,56
fold2,3,0.5,0.0,delta-blend@k3_b05,91.17752075195312,594.2409057617188,24.377056954475016,24.0035400390625,56
fold2,3,0.7,0.0,delta-blend@k3_b07,91.17752075195312,606.6043701171875,24.62933961999768,24.375089645385742,56
fold2,5,,0.0,delta-knn-only@k5,91.17752075195312,628.8423461914062,25.076729176497604,24.958065032958984,56
fold2,5,0.3,0.0,delta-blend@k5_b03,91.17752075195312,583.5198364257812,24.156155249248197,23.63968849182129,56
fold2,5,0.5,0.0,delta-blend@k5_b05,91.17752075195312,594.7775268554688,24.388061154086618,24.016366958618164,56
fold2,5,0.7,0.0,delta-blend@k5_b07,91.17752075195312,607.3884887695312,24.645252864791857,24.393047332763672,56
fold2,10,,0.0,delta-knn-only@k10,91.17752075195312,632.1973266601562,25.143534490205553,25.033281326293945,56
fold2,10,0.3,0.0,delta-blend@k10_b03,91.17752075195312,584.3309326171875,24.172938022035872,23.66225242614746,56
fold2,10,0.5,0.0,delta-blend@k10_b05,91.17752075195312,596.2225341796875,24.417668483696136,24.053974151611328,56
fold2,10,0.7,0.0,delta-blend@k10_b07,91.17752075195312,609.5416870117188,24.688898051790783,24.445695877075195,56
fold2,3,,0.8,delta-knn-only@k3,134.4514617919922,627.6517944335938,25.052979751590303,24.932415008544922,56
fold2,3,0.3,0.8,delta-blend@k3_b03,134.4514617919922,583.2119750976562,24.149782092136075,23.63199234008789,56
fold2,3,0.5,0.8,delta-blend@k3_b05,134.4514617919922,594.2409057617188,24.377056954475016,24.0035400390625,56
fold2,3,0.7,0.8,delta-blend@k3_b07,134.4514617919922,606.6043701171875,24.62933961999768,24.375089645385742,56
fold2,5,,0.8,delta-knn-only@k5,134.4514617919922,628.8423461914062,25.076729176497604,24.958065032958984,56
fold2,5,0.3,0.8,delta-blend@k5_b03,134.4514617919922,583.5198364257812,24.156155249248197,23.63968849182129,56
fold2,5,0.5,0.8,delta-blend@k5_b05,134.4514617919922,594.7775268554688,24.388061154086618,24.016366958618164,56
