fold,setting,library_threshold_um,top1_distance_mean,top5_distance_mean,late_library_hit_rate,delta_error_mae_all,delta_error_mae_late,protocol_status
fold1,tma,91.17752075195312,0.12561410665512085,0.13261570036411285,1.0,2.346654176712036,3.293001890182495,formal-ready
fold1,baseline,91.17752075195312,0.0979212149977684,0.10509072989225388,1.0,2.2645981311798096,3.3159596920013428,formal-ready
fold2,tma,91.17752075195312,0.004649452865123749,0.005057671573013067,1.0,3.128145694732666,3.771737575531006,formal-ready
fold2,baseline,91.17752075195312,0.0037973844446241856,0.004087320063263178,1.0,3.280592679977417,4.82243537902832,formal-ready
fold3,tma,94.5686264038086,0.003503679996356368,0.003848397172987461,1.0,2.584801197052002,3.5368709564208984,formal-ready
fold3,baseline,94.5686264038086,0.0029949164018034935,0.0032748037483543158,1.0,2.674663782119751,3.767033338546753,formal-ready
