setting,fold,mae_full_raw,rmse_full_raw,late_mae_um,protocol_status
No TMA (TimerXL head-only),fold1,13.398430824279785,20.436194888565666,32.43019485473633,formal-ready
+ TMA only,fold1,9.276140213012695,17.59681731837687,25.695030212402344,formal-ready
+ TMA + KNN-DRR,fold1,3.2064666748046875,4.158579008888607,5.778050899505615,formal-ready
No TMA (TimerXL head-only),fold2,6.974664688110352,8.613006656620682,13.160486221313477,formal-ready
+ TMA only,fold2,3.7426395416259766,4.521605441818688,5.0355682373046875,formal-ready
+ TMA + KNN-DRR,fold2,3.3330025672912598,4.0985247307124695,4.996880531311035,formal-ready
No TMA (TimerXL head-only),fold3,5.940085411071777,6.874859895145563,6.893298625946045,formal-ready
+ TMA only,fold3,5.426422595977783,6.270470626666136,6.257275581359863,formal-ready
+ TMA + KNN-DRR,fold3,2.995772123336792,3.671849806678865,3.551478624343872,formal-ready
