inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold1:c1->c4,fold1,c1,c4,,,,head-only,early,101,85.1366958618164,95.30127716064453,0.9296708106994629,1.0070353746414185,0.9296708106994629,0.0
fold1:c1->c4,fold1,c1,c4,,,,head-only,mid,45,95.3352279663086,119.6248550415039,0.9030088782310486,1.0141584873199463,-0.348313570022583,0.6888888888888889
fold1:c1->c4,fold1,c1,c4,,,,head-only,late,73,120.56681060791016,203.0779266357422,1.552262306213379,2.240236282348633,-1.4830318689346313,0.7808219178082192
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,early,101,85.1366958618164,95.30127716064453,0.9024587869644165,1.0020697116851807,0.07089225947856903,0.37623762376237624
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,mid,45,95.3352279663086,119.6248550415039,2.0046658515930176,2.3576536178588867,-1.7275285720825195,0.7777777777777778
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,late,73,120.56681060791016,203.0779266357422,6.056073188781738,6.123104095458984,-6.056073188781738,1.0
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,early,101,85.1366958618164,95.30127716064453,0.5755135416984558,0.6702384948730469,0.5002816915512085,0.19801980198019803
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,mid,45,95.3352279663086,119.6248550415039,1.4394257068634033,1.582323431968689,-1.03792142868042,0.7333333333333333
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,late,73,120.56681060791016,203.0779266357422,3.7695517539978027,3.960533857345581,-3.7695517539978027,1.0
fold1:c1->c4,fold1,c1,c4,3,,0.5,delta-knn-only@k3,early,101,85.1366958618164,95.30127716064453,2.062208414077759,2.357697010040283,2.0291171073913574,0.12871287128712872
fold1:c1->c4,fold1,c1,c4,3,,0.5,delta-knn-only@k3,mid,45,95.3352279663086,119.6248550415039,2.1372900009155273,2.4129905700683594,-0.7020765542984009,0.6222222222222222
fold1:c1->c4,fold1,c1,c4,3,,0.5,delta-knn-only@k3,late,73,120.56681060791016,203.0779266357422,6.054968357086182,6.12230110168457,-6.054968357086182,1.0
