inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold1:c1->c4,fold1,c1,c4,,,,head-only,early,101,85.1366958618164,95.30127716064453,0.9296708106994629,1.0070353746414185,0.9296708106994629,0.0
fold1:c1->c4,fold1,c1,c4,,,,head-only,mid,45,95.3352279663086,119.6248550415039,0.9030088782310486,1.0141584873199463,-0.348313570022583,0.6888888888888889
fold1:c1->c4,fold1,c1,c4,,,,head-only,late,73,120.56681060791016,203.0779266357422,1.552262306213379,2.240236282348633,-1.4830318689346313,0.7808219178082192
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,early,101,85.1366958618164,95.30127716064453,2.4392879009246826,2.742992639541626,2.435681104660034,0.0594059405940594
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,mid,45,95.3352279663086,119.6248550415039,2.054872751235962,2.3249051570892334,-0.2635520100593567,0.5777777777777777
fold1:c1->c4,fold1,c1,c4,3,,0.8,delta-knn-only@k3,late,73,120.56681060791016,203.0779266357422,5.953775405883789,6.037458419799805,-5.953775405883789,1.0
fold1:c1->c4,fold1,c1,c4,3,0.0,0.8,delta-blend@k3_b00,early,101,85.1366958618164,95.30127716064453,0.9296708106994629,1.0070353746414185,0.9296708106994629,0.0
fold1:c1->c4,fold1,c1,c4,3,0.0,0.8,delta-blend@k3_b00,mid,45,95.3352279663086,119.6248550415039,0.9030088782310486,1.0141584873199463,-0.348313570022583,0.6888888888888889
fold1:c1->c4,fold1,c1,c4,3,0.0,0.8,delta-blend@k3_b00,late,73,120.56681060791016,203.0779266357422,1.552262306213379,2.240236282348633,-1.4830318689346313,0.7808219178082192
fold1:c1->c4,fold1,c1,c4,3,0.3,0.8,delta-blend@k3_b03,early,101,85.1366958618164,95.30127716064453,1.3814737796783447,1.4113329648971558,1.3814737796783447,0.0
fold1:c1->c4,fold1,c1,c4,3,0.3,0.8,delta-blend@k3_b03,mid,45,95.3352279663086,119.6248550415039,1.2176566123962402,1.3018754720687866,-0.32288530468940735,0.6444444444444445
fold1:c1->c4,fold1,c1,c4,3,0.3,0.8,delta-blend@k3_b03,late,73,120.56681060791016,203.0779266357422,2.8242549896240234,3.161013603210449,-2.8242549896240234,1.0
