Epoch,Method (模型方法),特征,损失函数,C1,C1,C4,C4,C6,C6,Avg,Avg,Note (备注)
,,,,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,
,KNN+TMA+blend,"RMS-7 (7D), epoch=300",MSE(wear) + λ_m L_mono + λ_s L_smooth,3.2150,3.8439,3.3501,4.1302,3.7592,3.9863,3.4414,3.9868,7通道RMS
,Head-only,RMS-7 + PTP-7 (14D),MSE(wear) + λ_m L_mono + λ_s L_smooth,5.4890,6.5984,4.3856,5.4584,5.4359,8.0989,5.1035,6.7186,7通道RMS + 7通道PTP
,KNN,RMS-7 + PTP-7 (14D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.2732,2.6421,2.6479,3.2267,2.3555,2.7234,2.4255,2.8641,7通道RMS + 7通道PTP
,blend,RMS-7 + PTP-7 (14D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.2732,2.6421,2.6479,3.2267,2.3555,2.7234,2.4255,2.8641,7通道RMS + 7通道PTP
,Head-only,RMS-7 + PTP-7 + WaveletEnergy-7 (21D),MSE(wear) + λ_m L_mono + λ_s L_smooth,5.0984,5.7189,6.3697,7.9546,9.2063,12.9354,6.8915,8.8696,7通道RMS + 7通道PTP + 7通道小波能量
,KNN,RMS-7 + PTP-7 + WaveletEnergy-7 (21D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.6595,2.9558,2.8374,3.3319,2.0121,2.3728,2.5030,2.8868,7通道RMS + 7通道PTP + 7通道小波能量
,blend,RMS-7 + PTP-7 + WaveletEnergy-7 (21D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.6595,2.9558,2.8374,3.3319,2.0121,2.3728,2.5030,2.8868,7通道RMS + 7通道PTP + 7通道小波能量
,Head-only,Full-133 (133D),MSE(wear) + λ_m L_mono + λ_s L_smooth,4.9402,6.3221,4.8904,6.2017,30.1552,44.1790,13.3286,18.9009,7通道×19统计特征（时域+频域）
,KNN,Full-133 (133D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.5880,2.9661,2.6713,3.3813,2.6191,2.9122,2.6261,3.0865,7通道×19统计特征（时域+频域）
,blend,Full-133 (133D),MSE(wear) + λ_m L_mono + λ_s L_smooth,2.5880,2.9661,2.6713,3.3813,2.6191,2.9122,2.6261,3.0865,7通道×19统计特征（时域+频域）
