inner_id,outer_fold,library_run,query_run,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold1:c1->c4,fold1,c1,c4,,,,head-only,early,101,85.1366958618164,95.30127716064453,0.7529168725013733,0.9822314977645874,0.7529168725013733,0.0
fold1:c1->c4,fold1,c1,c4,,,,head-only,mid,45,95.3352279663086,119.6248550415039,0.9425603151321411,1.010307788848877,-0.4234332740306854,0.6666666666666666
fold1:c1->c4,fold1,c1,c4,,,,head-only,late,73,120.56681060791016,203.0779266357422,2.027998208999634,2.4755747318267822,-2.027998208999634,1.0
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,early,101,85.1366958618164,95.30127716064453,0.8988409042358398,0.9978498220443726,0.07231653481721878,0.37623762376237624
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,mid,45,95.3352279663086,119.6248550415039,1.9932488203048706,2.3530023097991943,-1.7167108058929443,0.7777777777777778
fold1:c1->c4,fold1,c1,c4,3,,0.0,delta-knn-only@k3,late,73,120.56681060791016,203.0779266357422,6.060606002807617,6.127646446228027,-6.060606002807617,1.0
fold1:c1->c4,fold1,c1,c4,3,0.3,0.0,delta-blend@k3_b03,early,101,85.1366958618164,95.30127716064453,0.548736572265625,0.6629166603088379,0.548736572265625,0.0
fold1:c1->c4,fold1,c1,c4,3,0.3,0.0,delta-blend@k3_b03,mid,45,95.3352279663086,119.6248550415039,1.2396074533462524,1.3604801893234253,-0.8114169836044312,0.7111111111111111
fold1:c1->c4,fold1,c1,c4,3,0.3,0.0,delta-blend@k3_b03,late,73,120.56681060791016,203.0779266357422,3.2377796173095703,3.459056854248047,-3.2377796173095703,1.0
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,early,101,85.1366958618164,95.30127716064453,0.49529847502708435,0.5863573551177979,0.4126162528991699,0.2376237623762376
fold1:c1->c4,fold1,c1,c4,3,0.5,0.0,delta-blend@k3_b05,mid,45,95.3352279663086,119.6248550415039,1.4481639862060547,1.629159927368164,-1.0700712203979492,0.7333333333333333
