inner_id,outer_fold,library_run,query_run,selected_k,selected_beta,selected_late_q,selected_mode,selected_metric
fold1:c1->c4,fold1,c1,c4,3,0.3,0.0,delta-blend@k3_b03,1.5870441198349
fold1:c4->c1,fold1,c4,c1,5,0.3,0.0,delta-blend@k5_b03,2.6276931762695312
fold2:c4->c6,fold2,c4,c6,3,1.0,0.0,delta-blend@k3_b10,5.081831932067871
fold2:c6->c4,fold2,c6,c4,5,0.7,0.0,delta-blend@k5_b07,1.2163079977035522
fold3:c1->c6,fold3,c1,c6,3,1.0,0.0,delta-blend@k3_b10,1.7397925853729248
fold3:c6->c1,fold3,c6,c1,3,0.3,0.8,delta-blend@k3_b03,1.5840150117874146
